id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,cluster_label
05yPS5UZkzPsW0IjYfykWV,Enna Pyar Ni,Gurdas Maan,['sufi'],0.611,0.634,6,-10.447,1,0.172,0.184,9.58e-06,0.201,0.88,89.669,325173,4,2,Instrumental Calm
063fMQR4ovHXH5PwO2hJm5,Dil Hi Tu Hai,Farida Khanum,['sufi'],0.416,0.256,7,-15.649,0,0.0428,0.98,0.0569,0.13,0.401,115.831,318360,3,1,Dance Party
06LFFPPS7MylCZXps3cO4m,Who Shot Cupid?,Juice WRLD,[],0.758,0.932,3,-2.809,1,0.0372,0.0558,0.0,0.097,0.592,125.993,214246,4,2,Instrumental Calm
06N8hlAzBhmqiw6Lmajqtj,Budhwa Bhi Ho Jaayega Deewana,Manoj Mishra,['sufi'],0.514,0.866,6,-5.056,1,0.191,0.658,0.0,0.292,0.909,122.059,255988,4,0,Energetic Happy
06NThuqBnPTTpeTniKpajk,Sur Sangeet,Noor Jehan,['bollywood'],0.522,0.267,4,-14.163,1,0.0324,0.856,2.06e-06,0.106,0.619,108.161,254627,4,1,Dance Party
06YDc5ZF8UkbtAOcQYSjeG,2002,Anne-Marie,['pop'],0.697,0.683,1,-2.881,0,0.116,0.0372,0.0,0.137,0.606,96.134,186987,4,2,Instrumental Calm
06eiNQF1LOO9rxFq2xcxpl,Way Main Aa Gayee Aan,Alam Lohar,['sufi'],0.585,0.702,6,-8.506,0,0.206,0.237,3.23e-06,0.301,0.781,96.132,374987,4,2,Instrumental Calm
06esTPbBLd9a7Kwk51y52i,Allah Allah Hoo,Sain Zahoor Ahmed,['sufi'],0.641,0.72,10,-6.604,1,0.0477,0.512,0.0334,0.327,0.533,143.803,862998,4,2,Instrumental Calm
06rc4VcvXnDhlEFoNuTTbl,Shesh Holo Tor Abhijan,Pankaj Mullick,['bollywood'],0.349,0.103,8,-17.952,0,0.0378,0.995,0.742,0.119,0.298,70.804,200014,4,4,Rap / Spoken
073OlDJmxUtgKsGlf0l5uu,TAN PITAMBAR,Anup Jalota,['bollywood'],0.605,0.666,2,-5.237,0,0.0989,0.571,0.0,0.348,0.622,89.977,237538,4,2,Instrumental Calm
077CmuFNgQxTEyI3axaS14,Zidi Rana Hik Wajda Ni,Naseebo Lal,['sufi'],0.693,0.88,2,-2.555,1,0.174,0.163,4.17e-06,0.072,0.62,125.497,288188,4,2,Instrumental Calm
07BCtoJYFOi8Nfco4ZrtZb,Just Dance,Lady Gaga,[],0.825,0.717,1,-5.26,0,0.0318,0.0252,7.77e-06,0.189,0.716,118.98,242333,4,2,Instrumental Calm
07Bo6LCspGBCGoiSjPb16m,Kathmandu,Johnny Madsen,['pop'],0.563,0.828,0,-5.914,1,0.0395,0.0137,6.88e-05,0.134,0.917,135.517,273947,4,2,Instrumental Calm
07KNSOMtdtW2In7Lb0SE87,Ishq Da Val Agaya,Naseebo Lal,"['ghazal', 'sufi']",0.687,0.912,0,-7.245,1,0.114,0.162,1.18e-05,0.377,0.739,113.056,414973,4,2,Instrumental Calm
07PleZfbhN8To4RcgoxAef,Sorry Not Sorry,Demi Lovato,[],0.701,0.67,11,-6.879,0,0.223,0.0255,0.0,0.217,0.901,143.927,199547,4,2,Instrumental Calm
07WPJ4BqKkqj0VcsSgNXbh,"Raatan Kaaliyan Chaiyan (From ""Naji"")",Zubaida Khanum,['ghazal'],0.314,0.498,1,-8.516,0,0.042,0.947,1.26e-05,0.428,0.588,140.005,199333,3,1,Dance Party
07hviMwjvjldFbjOjGX60L,Utha Do Parda Dikha Do,Alhajj Muhammad Owais Raza Qadri,['sufi'],0.327,0.263,10,-8.875,1,0.0532,0.89,0.0,0.196,0.238,180.281,385052,5,1,Dance Party
0821DWL4n7T1RoXbLBzPOE,Yeh Sila Mila Hai Mujhko,Munni Begum,['ghazal'],0.543,0.628,1,-8.243,0,0.0438,0.54,5.66e-05,0.138,0.526,88.75,457566,4,2,Instrumental Calm
085HCaiND3pQt9YXVf1N0T,Guru Prem Ma Khelat Hori,Suresh Wadkar,['bollywood'],0.652,0.531,2,-8.694,0,0.0428,0.752,1.39e-05,0.239,0.726,95.897,437543,4,1,Dance Party
089JCtWpBEFd9okPxJp52u,Gham e Hijr E Mustafa Mein,Alhajj Muhammad Owais Raza Qadri,['sufi'],0.608,0.572,6,-3.507,1,0.0274,0.769,0.0,0.128,0.667,82.442,266053,4,1,Dance Party
08XPBpcYyxfkk09KciNFZx,Baat Karni Tujhey,Mehdi Hassan,['ghazal'],0.37,0.372,0,-12.286,1,0.0455,0.992,0.917,0.171,0.39,72.789,238907,4,4,Rap / Spoken
08XzRV4mGjGwbpvYw68xBk,Tu Mere Samne,Lata Mangeshkar,['bollywood'],0.436,0.405,7,-13.95,0,0.0351,0.732,0.0,0.238,0.638,102.185,366573,4,1,Dance Party
08YAZ0TEQuCtg8RL9KACBY,Man Kunto Maula,Aziz Mian,['qawwali'],0.453,0.871,7,-8.986,1,0.235,0.145,0.00862,0.943,0.655,72.248,216000,4,0,Energetic Happy
08YDTwvVNFbmpMa4kPfZJ3,Jiyo Dhola Jiyo Dhola,Noor Jehan,['ghazal'],0.316,0.342,8,-9.147,1,0.0322,0.881,1.5e-05,0.119,0.41,84.227,189333,4,1,Dance Party
08ZvEanN24fP8bKvyg3jSY,Umangen Dil Ki Machli,Noor Jehan,['ghazal'],0.466,0.371,9,-10.51,0,0.0383,0.988,0.203,0.212,0.625,129.285,229293,4,1,Dance Party
08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,[],0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,202621,4,2,Instrumental Calm
08l2HLSvaMCk7NiHcNwAm9,"Tick Tick Tick - From ""The Villain""",Kailash Kher,['sufi'],0.695,0.926,7,-5.798,1,0.137,0.264,4.41e-05,0.0476,0.542,132.938,230249,4,2,Instrumental Calm
08l6azk1qqtptWvQtcargz,Saif-ul-muluk,Atta Ullah Khan Esakhelvi,['ghazal'],0.475,0.411,2,-16.249,1,0.0458,0.841,0.00549,0.515,0.748,111.753,922625,4,1,Dance Party
08mPzEqISJKuj7V9QG7UH3,Ho Jaye Je Pyar Te Sona Bhul Jaunda,Nusrat Fateh Ali Khan,['qawwali'],0.483,0.541,2,-14.148,0,0.0803,0.232,0.00443,0.345,0.676,139.769,408600,4,0,Energetic Happy
08uX2yoVzomRlm4dtk9oSJ,De Elastiekjes Man,Dimitri Van Toren,['pop'],0.622,0.525,1,-14.487,1,0.0345,0.648,0.16,0.141,0.803,83.191,270610,4,1,Dance Party
08xhR9ZPrWtXF8Syha20ZD,Jado Da Tu Rus Gayo,Nusrat Fateh Ali Khan,['qawwali'],0.582,0.81,7,-7.487,1,0.124,0.000655,4.06e-05,0.17,0.615,180.236,274730,4,2,Instrumental Calm
0905nBQSH6IGDXY04kuJn5,Jab Tera Khat Kabhi Seene Se Lagaya Maine,Anuradha Paudwal,['ghazal'],0.547,0.294,11,-14.734,0,0.0271,0.765,2.71e-06,0.091,0.458,95.695,410444,4,1,Dance Party
090ysk0C81I2Mbos18ScKN,Devet dana ljubimo se,Jasmin Muharemovic,['pop'],0.366,0.327,9,-17.711,1,0.106,0.626,0.0,0.111,0.899,187.344,216165,3,1,Dance Party
091jhaQGN3Npzisp2YtG1B,Bedard Dhola,Atta Ullah Khan Esakhelvi,['qawwali'],0.493,0.608,2,-9.439,1,0.0387,0.736,0.176,0.0465,0.797,147.275,474973,3,1,Dance Party
0939eX5RiDtRDCIJdxADk1,Man Mohan Nand Kishore,Nitin Mukesh,['bollywood'],0.471,0.476,4,-10.183,1,0.0499,0.71,0.000945,0.68,0.76,78.249,283261,4,1,Dance Party
099qiaBBl3A9LroTyzZhLZ,Kawari Matyar Main,Noor Jehan,['ghazal'],0.622,0.486,3,-11.339,0,0.053,0.767,1.02e-05,0.121,0.946,79.235,302973,4,1,Dance Party
09FfQO3PqHO4HIJL511Ksi,Nice Guy (with Jessie Reyez),Eminem,[],0.65,0.639,8,-5.962,1,0.458,0.0942,0.0,0.135,0.563,139.226,150802,4,2,Instrumental Calm
09IOPhEh1OMe0HD9b36FJk,Over Now,Post Malone,[],0.559,0.761,4,-4.041,0,0.0877,0.131,1.6e-06,0.143,0.24,163.898,246987,4,2,Instrumental Calm
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,[],0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,184732,4,2,Instrumental Calm
09ODGbb9DDn8OabDgaTOk9,Savi Mora Keen,Atta Ullah Khan Esakhelvi,['sufi'],0.351,0.742,3,-5.671,0,0.0743,0.462,0.0,0.103,0.569,177.463,556274,3,0,Energetic Happy
09QsuRq3Lez9wFEoltDD6J,Mangte Hain Karam,Nusrat Fateh Ali Khan,['qawwali'],0.513,0.628,10,-7.314,0,0.047,0.846,0.015,0.904,0.739,117.821,1801519,3,3,Acoustic Chill
09UsTjbM5UWaKzw3cz3gYi,NO LIE,Mehdi Hassan,['bollywood'],0.492,0.672,7,-10.77,1,0.165,0.595,0.283,0.248,0.477,100.558,130770,4,0,Energetic Happy
09YAdDlH7DoyPEqYIsrufn,"Angootha Dil Wali Bahi Te (From ""Jabral"")",Salma Agha,['ghazal'],0.53,0.759,10,-6.252,0,0.0535,0.766,0.000916,0.193,0.794,80.896,290160,4,0,Energetic Happy
09bg8ttkZsC2Jxe3mpBTAk,Ve Tu Nai Aya,Atta Ullah Khan Esakhelvi,['qawwali'],0.627,0.479,5,-13.444,1,0.0527,0.461,9.45e-05,0.0771,0.688,158.237,424020,4,1,Dance Party
09fXNqFOI4WhygekbqKH6i,Swag Se Swagat - Arabic Version,Vishal-Shekhar,['bollywood'],0.81,0.541,1,-9.293,1,0.0995,0.0208,0.000399,0.256,0.26,105.944,235053,4,2,Instrumental Calm
09jZvawuwroKaBPzP13ft8,Sebeb-i Hilkat-i Alem Yüceden Sesleniyor,Mehmet Kemiksiz,['sufi'],0.268,0.436,9,-6.929,1,0.0415,0.722,8.44e-05,0.208,0.3,65.758,366393,4,1,Dance Party
09kXDDVUQSrblsS8QiNQyn,Chali Sahnwan Di Haneeri,Naseebo Lal,['sufi'],0.716,0.739,10,-4.67,1,0.055,0.54,6.56e-06,0.0916,0.737,145.932,284287,4,2,Instrumental Calm
09lmraDvzBT3pUQ2rUtJzK,14-Mar,Drake,[],0.558,0.415,10,-7.355,0,0.358,0.406,0.0,0.36,0.317,127.096,309560,4,2,Instrumental Calm
09oZ9eXQ2fo6YDrPzJqAoP,Outta My Head (with John Mayer),Khalid,[],0.729,0.545,0,-7.818,1,0.0316,0.0174,0.000274,0.369,0.514,103.012,177067,4,2,Instrumental Calm
09qwJ52yCmCC10eh5xcTdz,"Kopi Kopi Bolale Suruj Dev (From ""Chhath Mahima"")",Anuradha Paudwal,['ghazal'],0.447,0.476,7,-9.245,1,0.031,0.697,0.0,0.0919,0.856,191.981,206307,3,1,Dance Party
09s65KcHa2ns0Zyd6rs8Jx,Sanu Ik Pal Chain Na Aawe,Rahat Fateh Ali Khan,['qawwali'],0.469,0.78,5,-6.55,1,0.0409,0.222,0.139,0.39,0.756,136.117,508772,4,0,Energetic Happy
